tipo,id,titulo,descricao,thumbnails_png,canal,tags,idioma,duracao,definicao,visualizacoes,likes,comentarios,contentDetails.regionRestriction.blocked,dia,horario,link
youtube video,aLNUOIe3Byk,ARMARIA MÃE / FILME 4,"Siga o link e comece a ganhar dinheiro com o Pocket Broker. Utilize o código promocional WIRIS para aumentar o seu primeiro depósito em 60%!  
https://click.theclickpartners.com/nzYS0xzw?landing=14&sub_id1=influ&sub_id2=WIRIS

MAIS INFORMAÇÕES:
▶  https://linktr.ee/wiris.viana",https://i.ytimg.com/vi/aLNUOIe3Byk/maxresdefault.jpg,Wiris Viana,"['webséries', 'achatadaminhairm', 'novelinha', 'videosengraçados', 'wirisviana', 'achatadaminhairmã', 'armariamãe', 'vídeos para familia', 'COMEDIA', 'comédia', 'Os melhores vídeos da Internet', 'Os melhores filmes da Internet', 'humor inteligente', 'N3tflix', 'Canal que ainda não estar na Netflix', 'Ator que a globo não tem', 'Melhor canal de web serie do brasil', 'melhor canal de vídeos para familia do brasil', 'Melhor canal do brasil', 'engraçado', 'uires vieira', 'rico', 'pobre']",pt-BR,16.3,hd,276300,5806,181,,2024-01-23,13:41:11,www.youtube.com/watch?v=aLNUOIe3Byk
youtube video,X7aF3nZOS98,Travis Scott - I KNOW ? (Official Music Video),"Travis Scott - I KNOW ? (Official Music Video)

""UTOPIA"" available at: https://TravisScott.lnk.to/UTOPIA

Directed by Dave Meyers & Travis Scott
Starring Emily Ratajkowski & Anok Yai
Label: Cactus Jack Records
Label Producer: Sam Lecca
Production Company: Freenjoy
Produced by Nathan Scherrer & Roisín Audrey Moloney
Cinematographer: Scott Cunningham
Production Designer: Veronica Gutierrez

Travis Scott online:
https://shop.travisscott.com/
https://twitter.com/trvisXX
https://www.instagram.com/travisscott/
https://soundcloud.com/travisscott-2
https://www.facebook.com/travisscottlaflame
https://travisscott.com/

(C) 2024 Cactus Jack Records under exclusive license to Epic Records, a division of Sony Music Entertainment

#TravisScott #UTOPIA #IKNOW",https://i.ytimg.com/vi/X7aF3nZOS98/maxresdefault.jpg,TravisScottVEVO,"['bad bunny', 'utopia', 'travis scott utopia', 'utopia travis scott', 'the weeknd', 'travis scott bad bunny', 'k-pop', 'kpop', 'travis scott k-pop', 'travis scott kpop', 'Lo mejor de Travis Scott', 'Éxitos de Travis Scott', 'Canción de Travis Scott', 'Video de Travis Scott', 'melhor de Travis Scott', 'Sucessos de Travis Scott', 'Vídeo de Travis Scott', 'Música de Travis Scott', 'highest in the room', 'Sicko Mode', 'goosebumps', 'Birds in the Trap', 'through the late night', 'Rodeo', 'new']",,3.78,hd,2329415,250213,9913,['RU'],2024-01-23,17:00:21,www.youtube.com/watch?v=X7aF3nZOS98
youtube video,B24Ql0-Ro7I,alanzoka jogando Palworld - Parte #1,"ANO NOVO, CUPOM NOVO! 🎉

ALANZOKA10 é realidade, agora com 10% CUMULATIVO no KaBuM! nas categorias: Headset Gamer, Teclado Gamer, Mouse Gamer, Gabinete e Mousepad.

Hype Ofertas KaBuM!, com até 55% OFF!
http://kb1.me/alanzokahypeofertasyt

-------------------------------------
Válido até 31/01.

alanzoka jogando Palworld

* Todas as promoções, descontos e sorteios do Kabum e/ou outro patrocinador do canal acontecem apenas durante as lives na Twitch. 
 
Não autorizamos o uso desse vídeo ou qualquer outro conteúdo das lives do Alanzoka na Twitch em outro canal que não sejam os oficiais. Sejam eles clipes, trechos ou até mesmo a live completa. Obrigado.

#alanzoka",https://i.ytimg.com/vi/B24Ql0-Ro7I/maxresdefault.jpg,Lives do alanzoka,"['alanzoka oficial', 'canal do alanzoka', 'lives do alanzoka', 'lives do alan', 'alanzoka memes', 'alanzoka live de hoje', 'alanzoka jogando', 'canal de lives do alanzoka', 'canal secundário alanzoka', 'canal de lives do alan', 'alan twitch', 'alanzoka twitch', 'alanzoka clipes engraçados', 'alanzoka canal de clipes', 'canal de clipes alanzoka', 'alanzoka clips', 'gameplayalanzoka', 'gameplay alanzoka', 'alanzoka canal de cortes', 'cortes do alanzoka']",pt-BR,109.07,hd,799591,48893,1272,,2024-01-22,16:00:06,www.youtube.com/watch?v=B24Ql0-Ro7I
youtube video,zQ7I6OBz-LI,Ex-PM Ronnie Lessa delata Domingos Brazão como mandante de morte de Marielle Franco |BandNews TV,"O ex-policial militar Ronnie Lessa delata o conselheiro do Tribunal de Contas do Estado Domingos Brazão como mandante dos assassinatos da vereadora Marielle Franco e do morotista Anderson Gomes.

Mais notícias no site band.com.br

Canal Principal ➤  @BandJornalismo
📱 Redes sociais: 
📸 Instagram: /bandjornalismo 
🐦Twitter: /BandJornalismo
➡️ TikTok: /bandjornalismo
🔵 Facebook: /bandjornalismo
🟠 Kwai: /bandjornalismo",https://i.ytimg.com/vi/zQ7I6OBz-LI/maxresdefault.jpg,Band Jornalismo,"['band jornalismo', 'band', 'jornalismo', 'bandeirantes', 'band tv', 'bandnews', 'jornal bandnews', 'band ao vivo', 'reportagens band', 'jornalismo band', 'domingos brazão e lula', 'brazão e bolsonaro', 'domingos brazão e bolsonaro', 'mariele', 'domingos brazão dilma', 'quem e domingos brazão', 'domingos brazao lula', 'domingos brazão esquerda', 'brazao', 'quem é domingos brazão', 'ronnie lessa', 'ronnie lessa domingos brazão', 'brazão']",pt-BR,2.8,hd,346966,9831,2905,,2024-01-23,16:55:27,www.youtube.com/watch?v=zQ7I6OBz-LI
youtube video,WCSyRTCyhvc,LIVE FC MOBILE BRASIL - TOTY,"Confira uma prévia do aguardado evento TOTY.

Vote agora: https://www.ea.com/games/ea-sports-fc/fc-24/toty

Android/Google Play: https://go.ea.com/EASPORTSFCMobile_GooglePl
iOS/App Store: https://go.ea.com/EASPORTSFCMobile_AppStore

Nos siga no Instagram: https://www.instagram.com/easfcmobile/
Nos siga no Twitter / X: https://twitter.com/EASFCMOBILE
Nos siga no Facebook: https://www.facebook.com/EASFCMobile/
Nos siga na Twitch: https://www.twitch.tv/easfcmobile
Nos siga no Threads: https://www.threads.net/@easfcmobile",https://i.ytimg.com/vi/WCSyRTCyhvc/maxresdefault.jpg,EA SPORTS FC MOBILE Brasil,"['FCMobile', 'FC Mobile', 'EA Sports', 'Libertadores', 'LIVE FC Mobile Brasil']",pt-BR,80.02,hd,64919,6499,161,,2024-01-23,22:25:59,www.youtube.com/watch?v=WCSyRTCyhvc
youtube video,-7AOxJeAbdY,CORINTHIANS 3 X 0 NOVORIZONTINO | MELHORES MOMENTOS | SEMIFINAL | COPINHA 2024,Assista a 37 jogos AO VIVO E EXCLUSIVOS da Copinha 2024 aqui na CazéTV. #CopinhaNaCazéTV,https://i.ytimg.com/vi/-7AOxJeAbdY/maxresdefault.jpg,CazéTV,"['CazéTV', 'Cazé TV', 'Casimiro ao vivo', 'Casimiro', 'CazéTV ao vivo', 'Cazé ao vivo', 'Bundesliga na CazéTV', 'Bundesliga ao vivo', 'Copinha ao vivo', 'Copinha 2024', 'Copinha 2024 ao vivo', 'Copinha na CazéTV']",pt-BR,4.87,hd,331063,12147,694,,2024-01-23,02:29:20,www.youtube.com/watch?v=-7AOxJeAbdY
youtube video,mx-kF28TG44,X2 / VICÊNCIA 2024 - KAKÁ/PAÇOCA X ETINHO/BRASIL,,https://i.ytimg.com/vi/mx-kF28TG44/maxresdefault.jpg,X1 Brazil,,,86.02,hd,231059,7812,39,,2024-01-23,02:03:23,www.youtube.com/watch?v=mx-kF28TG44
youtube video,2LNU40cPJWs,A CADA RODADA A CAMA ELASTICA AUMENTA!,"Meu espetáculo: https://www.enaldinho.com.br

O conteúdo deste e de todos os vídeos do canal tem como principal intuito o entretenimento. Não repita ou reproduza este conteúdo, seja em ambientes públicos ou privados. O conteúdo visa exclusivamente gerar entretenimento.

CANAL DA ELO TEAM: https://www.youtube.com/results?search_query=elo+team

Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA/join

COMPRE SEU LIVRÃO DO ZAP: http://bit.ly/livrosdoenaldinho

MINHA LOJA:  http://lolja.com.br/enaldinho

INSTA: @Enaldinho ou www.instagram.com/enaldinho/

★ Siga nas redes sociais:

Twitter: https://twitter.com/Enaldinho1

Face: https://www.facebook.com/enaldo.lopes.1

Segundo canal: https://goo.gl/oA3ErZ  

★ REDES SOCIAIS INTEGRANTES ELO:

VINI: https://youtube.com/@EoViniOficial

LUÍS: https://www.youtube.com/channel/UCLDyrS9G_SPjSUU3BIAsS2g

TIAGO:
Youtube: https://www.youtube.com/channel/UC7R498nEgxhervYSG8iRDbA

GUILHERME
Youtube: https://www.youtube.com/channel/UCUIXGDcq5BMwTGdavU0V8-g

BIEL
Youtube: https://www.youtube.com/user/zvisiongamer

BRENNER
Youtube: https://www.youtube.com/channel/UC7dN8lVhi2FPM9eZbMDrepw

LUIZA
Youtube:
https://www.youtube.com/channel/UCSvi-LS8fTig35aDgYB8TcQ 

NICOLAS
Youtube:
https://www.youtube.com/channel/UCW6_V5qKt6XYv-lST3xZ0nQ

EDIÇÃO, REVISÃO E POSTAGEM: Marcelinho Fernandes
- Instagram: @Marcelinho_fe",https://i.ytimg.com/vi/2LNU40cPJWs/maxresdefault.jpg,Enaldinho,"['Enaldinho', 'Enaldo Lopes', 'Desafio', 'elo team']",pt,11.88,hd,1303670,35926,1314,,2024-01-23,15:00:10,www.youtube.com/watch?v=2LNU40cPJWs
youtube video,nrhjNPz9980,VAMOS TER QUE PARAR! T11.ep15 NAMÍBIA - ÁFRICA,"✅ SEJA MEMBRO DO NOSSO CANAL E ASSISTA AOS VÍDEOS ANTECIPADO! https://www.youtube.com/channel/UC68lo9oCCz9VbEFUqRD_mrg/join
Se você usa iphone / iOs, precisa abrir pelo computador pra conseguir se tornar MEMBRO, desculpe pelo inconveniente, é uma limitação do próprio sistema iOs.

✅ CLICA AQUI PRA SE INSCREVER NO NOSSO CANAL → https://www.youtube.com/channel/UC68lo9oCCz9VbEFUqRD_mrg?sub_confirmation=1

Vai viajar pra fora e precisa de internet? Holafly! Chip virtual de internet pra você já chegar no seu destino conectado! Acesse o link e contrate o seu agora mesmo usando nosso código VMA pra ter 5% de desconto em qualquer plano: https://esim.holafly.com/pt/?ref=mzvinwj&discount=VMA&utm_source=vma_youtube&utm_medium=affiliation&utm_campaign=internet-viagem-esim-holafly

→ INSTAGRAM: @vivendomundoafora
📩 CONTATO COMERCIAL: comercial@vivendomundoafora.com.br

Somos um casal meio maluco, mas bem humorado que, buscando novas experiências, em 2016 resolveu sair pra dar uma volta ao mundo de carro, e aqui estamos!

Este vídeo contém publicidade.

Obrigado! Deixe seu comentário abaixo! Curta e Compartilhe com seus amigos!
#voltaaomundo #viagem #vivendomundoafora",https://i.ytimg.com/vi/nrhjNPz9980/maxresdefault.jpg,Vivendo Mundo Afora,"['VIVENDO MUNDO AFORA', 'VIAJANDO', 'MUNDO AFORA', 'VOLTA AO MUNDO', 'VIAGEM', 'TURISMO', 'ÁFRICA', 'CONTINENTE', 'AFRICANO', 'NAMÍBIA', 'SWAKOPMUND', 'PARQUE NACIONAL', 'SAFARI', 'WALVIS BAY', 'PROBLEMA', 'MOTOR', 'CARRO', 'TOYOTA', '4X4']",pt-BR,43.25,hd,79934,10193,343,,2024-01-23,23:00:52,www.youtube.com/watch?v=nrhjNPz9980
youtube video,TA3YvoQdE0c,JOGO COMPLETO: NOVORIZONTINO X PALMEIRAS | RODADA 1 | FASE DE GRUPOS | PAULISTÃO 2024,"É DIA DE PAULISTÃO NA CAZÉTV! Acompanhe AO VIVO E COM IMAGENS o duelo entre NOVORIZONTINO x PALMEIRAS válido pela 1ª rodada do Paulistão 2024, aqui no YouTube!

#PaulistãoNaCazéTV",https://i.ytimg.com/vi/TA3YvoQdE0c/maxresdefault.jpg,CazéTV,"['Casimiro', 'Casimiro ao vivo', 'Futebol ao vivo', 'Futebol CazéTV', 'CazéTV', 'Cazé TV', 'Cazé ao vivo', 'CazéTV ao vivo', 'casetv', 'jogo paulistão', 'onde assistir paulistão', 'assistir paulistão', 'assistir paulistão ao vivo', 'campeonato paulista ao vivo', 'PALMEIRAS ao vivo', 'NOVORIZONTINO x PALMEIRAS', 'PALMEIRAS x NOVORIZONTINO', 'assistir PALMEIRAS', 'assistir NOVORIZONTINO x PALMEIRAS', 'assistir PALMEIRAS ao vivo', 'onde assistir PALMEIRAS', 'jogo PALMEIRAS ao vivo', 'jogo NOVORIZONTINO x PALMEIRAS']",pt-BR,414.47,hd,7767312,143463,86,,2024-01-22,01:06:58,www.youtube.com/watch?v=TA3YvoQdE0c
youtube video,xcC3Xh3PFcE,JULLIANY SOUZA - LINDO MOMENTO (AO VIVO),"LINDO MOMENTO - JULLIANY SOUZA

▸ Inscreva-se no canal @JullianySouza
▸ Ouça nas plataformas digitais: http://ada.lnk.to/LindoMomento

▸ Siga Julliany Souza nas redes sociais:
Instagram: https://swiy.co/julliany-instagram
TikTok: https://swiy.co/julliany-tiktok

▸ Contato agenda/convites:
+55 (62) 98154-8834 (WhatsApp - Rony)
___

▸ Letra:

Tão lindo é cada momento
Que me visita e faz de mim o teu altar
Quero ir contigo mais profundo
Segura a minha mão 
Eu sei nunca vai soltar 

Leva-me a um lugar
Onde só você e eu
Desfrutamos o momento
Te amo meu papai
Eu dependo desse amor
E sem ti eu sei que morro

Tão lindo é cada momento
Que me visita e faz de mim o teu altar
Quero ir contigo mais profundo
Segura a minha mão
Eu sei nunca vai soltar

Leva-me a um lugar
Onde só você e eu
Desfrutamos o momento
Te amo meu papai
Eu dependo desse amor
E sem ti eu sei que morro

Me enxergou na minha tormenta
Me livrou em meus problemas
Transformou minha tristeza
E mudou minha vida inteira

Me vestiu com roupas novas
Pôs azeite em minha cabeça
Me deu um lugar na mesa
O meu pai não me rejeita

Leva-me a um lugar
Onde só você e eu
Desfrutamos o momento
Te amo meu papai
Eu dependo desse amor
E sem ti eu sei que morro

▸ Composição: Enmanuel Encarnación, Laurelys Castillo e Challenge Salcedo.

A obra, cedida pela editora BIG BRAIN LABEL LLC, foi traduzida de forma autorizada para o idioma Português por Lucas Wallas.
___
▸ Siga nas plataformas:

Spotify: https://open.spotify.com/intl-pt/artist/0d71FlLkqZzdpEQifcngQq?si=zcyTf5_2RcahunUqHSZ5eQ 

Deezer: https://deezer.page.link/ChfUEf2DzsumKQ428

Amazon Music: https://music.amazon.com.br/artists/B01623BRLY?ref=dm_sh_YVGLoLVXJxSO69Y4YHsMXNnHJ

Apple Music: https://music.apple.com/us/artist/julliany-souza/1045261065 

___
▸ Ficha Técnica:
Produção executiva: AMÉM
Direção de vídeo: Glenio Jr e Lucas Jales 
Produção musical: Léo Brandão e Roger Lima
Arranjos: Roger Lima
Captação: João Marcos Soares
Mixagem e Masterização: Francisco Arnozan 
Bateria: Baby
Guitarras: Dean Torres
Violões: Dean Torres e Caetano
Teclados: Roger Lima
Backing vocal: Caetano
Baixo: Matheus Nogueira
Coral: One Service
___
Julliany Souza é cantora e compositora cristã. Desde muito nova, dedica-se ao chamado do Senhor. Iniciou seu ministério aos 14 anos na igreja, destacando-se em 2019 com a música ""A Casa É Sua"". Com uma voz única, tornou-se representante da música gospel nacional e internacional.

Desde 2019, Julliany apresenta músicas como ""Eu Te Vejo Em Tudo"", ”Era Eu”,  “Sinto Fluir” ft. Marcelo Markes, ""Yeshua” ""Seu Amor Me Persegue"", “Eu Só Quero Tua Presença” ft. Theo Rubia, ""Como Na Primeira Vez"", ""Ele Cumprirá"",  “Yahweh Se Manifestará” ft. Marcos Freire, entre outras.

A cantora segue seu propósito de levar o amor de Deus a todos os povos por meio de seus novos louvores. ""Lindo Momento"" marca o início desse novo projeto.
___

▸ MAIS DE JULLIANY SOUZA:

Yahweh Se Manifestará | @MarcosFreire @JullianySouza AMÉM (Versão Oficial em Português) LIVE
https://www.youtube.com/watch?v=EVot5doOp9Q&t=0s

Yeshua + Espontâneo | Casa Worship | Momentos
https://www.youtube.com/watch?v=IMOgRTxv3nw&t=0s

Ele Cumprirá - AMÉM, Julliany Souza
https://www.youtube.com/watch?v=tF6-fjG51tc&t=0s

JULLIANY SOUZA - COMO NA PRIMEIRA VEZ (AO VIVO) ARENA VIDEIRA GOIÂNIA Momentos
https://www.youtube.com/watch?v=bBziIwbslKc&t=0s

A Casa É Sua - CASA WORSHIP (Clipe Oficial)
https://www.youtube.com/watch?v=5QHF5OQeFOs&t=0s

Eu Te Vejo Em Tudo - Casa Worship (Clipe Oficial)
https://www.youtube.com/watch?v=SFiu3KLNd34&t=0s

Seu Amor Me Persegue | Casa Worship
https://www.youtube.com/watch?v=yJl-kZmONY8&t=0s
 
Eu Só Quero Tua Presença -@theorubia, @CasaWorship,@LeoBrandaoe@JullianySouza (Ao Vivo)
https://www.youtube.com/watch?v=o4AGQdUujss&t=0s

Sinto Fluir - @marcelomarkesoficial| @CasaWorship (Julliany Souza)
https://www.youtube.com/watch?v=bwUJsH6bVEI&t=0s
  
Como Na Primeira Vez + Eu Navegarei | Julliany Souza ft. @ricardinhoqueirozz SESSÃO LIVRE
https://www.youtube.com/watch?v=NSAEphKyS-g&t=0s
___

▸ Yeshua Casa Worship, Yahweh Se Manifestar, Oração de Gratidão, A Casa É Sua Casa Worship, Seu Amor Me Persegue, Eu Te Vejo Em Tudo Casa Worship, Era Eu, Sinto Fluir, Eu Só Quero Tua Presença, essa casa é sua casa, faz me morrer pras coisas desse mundo, faz outra vez como na primeira vez letra, me derramar

▸ Julliany Souza 2024, Lindo Momento, Hermoso Momento, Hermoso Momento Português, juliana souza cantora gospel, tu me viste en mi tormenta, me libraste de la prueba, tu me viste en mi tormenta letra, Hermoso momento remix, kairo worship, Hermoso momento farruko, me vistio con ropas nuevas, te amo mi papá, yo dependo de tu amor y sin ti yo se que muero, adoração espontânea, devocional, louvor pra orar, Hermoso momento letra, Hermoso momento kairo worship, gospel 2023, gospel 2024, ministração ao vivo, julliany Souza sessão livre, julliany souza 2023, julliany souza espontâneo, hinos, louvor

#LindoMomento  #JullianySouza #HermosoMomento",https://i.ytimg.com/vi/xcC3Xh3PFcE/maxresdefault.jpg,Julliany Souza,"['JULLIANY SOUZA - LINDO MOMENTO (AO VIVO)', 'Lindo Momento', 'Julliany Souza', 'Lindo Momento letra', 'tão lindo é cada momento', 'te amo meu papai', 'me enxergou na minha tormenta', 'me livrou em meus problemas', 'me vestiu com roupas novas', 'tu me viste en mi tormenta', 'me libraste de la prueba', 'Hermoso momento julliany Souza', 'Hermoso momento português', 'lindo momento playback', 'Hermoso momento letra', 'Hermoso momento playback', 'adoração espontânea', 'te amo mi papá', 'leva-me a um lugar', 'worship', 'amem']",pt,14.9,hd,126875,10880,965,,2024-01-23,14:00:12,www.youtube.com/watch?v=xcC3Xh3PFcE
youtube video,-FmIjs2XBek,"Rodrigo Simas se sente mais LIVRE ao assumir sua BISSEXUALIDADE | Na Piscina, com Fê Paes Leme | GNT","Fê Paes Leme convida o ator Rodrigo Simas para responder algumas perguntas quentes sobre relacionamento, trabalho, sexualidade! ☀️

#NaPiscinaComFePaesLeme #RodrigoSimas #GNT

Inscreva-se no canal GNT: http://bit.ly/canalGNT
Assista aos programas na íntegra no Globoplay + Canais: http://bit.ly/GloboplayCanaisGNT
Site: https://gnt.globo.com/
Facebook: https://www.facebook.com/gnt
Instagram: https://instagram.com/gnt/
Twitter: https://twitter.com/canalgnt
Pinterest: https://www.pinterest.com/canalgnt
TikTok: https://www.tiktok.com/@canalgnt

Receitas
Youtube: https://www.youtube.com/receitas
Facebook: https://www.facebook.com/receitas
Instagram: https://instagram.com/receitas
Pinterest: https://www.pinterest.com/receitas
TikTok: https://www.tiktok.com/@receitas",https://i.ytimg.com/vi/-FmIjs2XBek/maxresdefault.jpg,Canal GNT,"['canal gnt', 'GNT', 'canal gnt online', 'assistir gnt', 'TV Globo', 'gnt ao vivo', 'gnt globo', 'gnt', 'estreia', 'Na Piscina com Fê Paes Leme', 'programa da fepa', 'Quem Pode', 'Pod', 'podcast fernanda paes leme', 'samuel de assis', 'programa fernanda paes leme', 'programa piscina fepa', 'programa novo da fepa', 'programa novo', 'gnt 2024', 'fe paes leme', 'fepa', 'fernanda paes leme', 'namorado', 'duda beat', 'relacionamento', 'amor', 'sofrência', 'duda beat namorado', 'rainha da sofrência', 'fe paes leme marido']",pt,6.78,hd,57559,2555,102,,2024-01-23,21:00:01,www.youtube.com/watch?v=-FmIjs2XBek
youtube video,_FAOrDgUODA,OLHA O QUE ESTÁ ESCONDIDO NO REFEITÓRIO DA ESCOLA no Avatar World,Quem iria imaginar que tem tanta coisa escondida no refeitório da escola no Avatar World!,https://i.ytimg.com/vi/_FAOrDgUODA/maxresdefault.jpg,Gabriel e Shirley - Games,,pt-BR,12.97,hd,167372,6744,803,,2024-01-23,14:00:21,www.youtube.com/watch?v=_FAOrDgUODA
youtube video,69-MkUbgbzo,24 HORAS IGNORANDO O MEU MELHOR AMIGO *ficou bravo,,https://i.ytimg.com/vi/69-MkUbgbzo/maxresdefault.jpg,Emilly Vick,,pt,11.45,hd,1300672,,4085,,2024-01-23,13:56:54,www.youtube.com/watch?v=69-MkUbgbzo
youtube video,ypr7MgU1Ykw,96th Oscars Nominations Announcement Hosted by Zazie Beetz and Jack Quaid,"Start at 3:00 to watch the 96th Oscars Nominations Announcement, hosted by Zazie Beetz and Jack Quaid! Who are you rooting for?

Tune into the 96th Academy Awards on Sunday, March 10 7E / 4P which will be televised LIVE on ABC and in more than 200 territories worldwide. How to Watch ►► https://www.oscars.org/how-to-watch/

Subscribe for more Oscars videos ►► http://osca.rs/subscribeyt

96th Oscars Nominations Announcement Hosted by Zazie Beetz and Jack Quaid

Subscribe for more #Oscars videos ►► http://osca.rs/subscribeyt 

#Oscars #AcademyAwards #zaziebeetz #jackquaid",https://i.ytimg.com/vi/ypr7MgU1Ykw/maxresdefault.jpg,Oscars,,en,23.73,hd,541730,14536,1976,,2024-01-23,13:55:25,www.youtube.com/watch?v=ypr7MgU1Ykw
youtube video,De5KJO5cVYc,Joguei Todos os FIFAS da HISTÓRIA! (1994 - 2024),"Joguei Todos os FIFAS da HISTÓRIA! (1994 - 2024)

Insta: gui_vagabito

0:00 - Intro
0:10 - FIFA 94
1:14 - FIFA 95
2:47 - FIFA 96
4:09 - FIFA 97
5:09 - FIFA 98
6:10 - FIFA 99
7:10 - FIFA 00
8:08 - FIFA 01
9:28 - FIFA 02
10:31 - FIFA 03
11:35 - FIFA 04
12:46 - FIFA 05
13:38 - FIFA 06
14:44 - FIFA 07
16:03 - FIFA 08
16:54 - FIFA 09
18:12 - FIFA 10
18:43 - FIFA 11
19:16 - FIFA 12
20:05 - FIFA 13
21:15 - FIFA 14
22:01 - FIFA 15
22:53 - FIFA 16
23:24 - FIFA 17
24:10 - FIFA 18
25:03 - FIFA 19
25:37 - FIFA 20
26:12 - FIFA 21
26:40 - FIFA 22
27:01 - FIFA 23
27:24 - EA FC 24
27:57 - Notas Finais",https://i.ytimg.com/vi/De5KJO5cVYc/maxresdefault.jpg,Vagabito,"['Joguei Todos os FIFAS da HISTÓRIA! (1994 - 2024)', 'todos fifas', 'todos fifa da historia']",,28.18,hd,234945,5638,113,,2024-01-22,23:00:12,www.youtube.com/watch?v=De5KJO5cVYc
youtube video,y5rsIFx3YKU,"MARIA MARIAH VOCÊ NÃO SAI DA MINHA CABEÇA - MC Meno Dani, Silva MC, JC no Beat, DJ F7 | FitDance","MARIA MARIAH VOCÊ NÃO SAI DA MINHA CABEÇA - MC Meno Dani, Silva MC, JC no Beat, DJ F7 | FitDance

#Coreografia para vocês!
Elenco do vídeo: @gustavosantosw @naianedarlenn @vi.melloo

TikTok: https://www.tiktok.com/@fitdance
Kwai: http://s.kw.ai/tA3xrP8E

Quer fazer parte do maior programa de Aulas do Brasil? 
Seja um instrutor FitDance e venha ser feliz com a gente:
https://www.fitdance.com/seja-instrutor

Acompanhe a FitDance em outras redes:
https://www.instagram.com/fitdance
https://www.facebook.com/fitdance

Conheça nosso canal FitDance Internacional: https://goo.gl/QuvhJL

Loja Online: https://store.fitdance.com

Confira também o nosso perfil no Spotify:
https://spoti.fi/3aPwkPl

Aulas de dança ao-vivo e on-line na sua casa: www.fitdance.com/plus

#Dance #Choreography",https://i.ytimg.com/vi/y5rsIFx3YKU/maxresdefault.jpg,FitDance,"['FitDance', 'Fit', 'Dance', 'Coreografia', 'Oficial', 'Hits', 'Melhores', 'Choreography', 'Sucesso', 'HIT', '2020', 'Funk', 'Video', 'Charts', 'Trends', 'Aeróbico', 'Axe Moi', 'Zumba', 'Fitness', 'Dance Tutorial', 'KondZilla', 'Lançamento', 'Dance Channel', 'Home Office', 'Dance em Casa', 'Dance Video', 'Piseiro', 'Sertanejo', 'Maria Mariah Você Não Sai Da Minha Cabeça', 'MC Meno Dani', 'Silva MC', 'JC No Beat', 'DJ F7']",pt-BR,1.97,hd,47867,997,68,,2024-01-23,13:00:54,www.youtube.com/watch?v=y5rsIFx3YKU
youtube video,Y4izYEJuNW4,A AMIGA DO RYAN FEZ ELE SE REV0LTAR CONTRA FAMÍLIA !!!,A AMIGA DO RYAN FEZ ELE SE REV0LTAR CONTRA FAMÍLIA !!!,https://i.ytimg.com/vi/Y4izYEJuNW4/maxresdefault.jpg,Ryan Oliveira,,,9.6,hd,142845,5513,261,,2024-01-23,15:00:24,www.youtube.com/watch?v=Y4izYEJuNW4
youtube video,uPUh-OU13EI,POKÉMON MAS AGORA ELES USAM ESPINGARDA! - Palworld,"Palworld é um jogo de coletar monstros muito parecido com Pokémon, só tem uma diferença... ELES PODEM USAR UMA ESPINGARDA!!! CONFIRA E SARAIVA O LIKE!
======================
●Instagram: julianoab
●Email de contato: jazzghost@gmail.com",https://i.ytimg.com/vi/uPUh-OU13EI/maxresdefault.jpg,Jazzghost,"['jazzghost', 'jazz', 'palworld', 'pokemon']",,26.0,hd,785378,56852,6831,,2024-01-23,15:00:51,www.youtube.com/watch?v=uPUh-OU13EI
